Timestamp,X Position,Y Position
2024-03-22T11:34:48.205Z,508,547
2024-03-22T11:34:48.949Z,620,547
2024-03-22T11:34:49.819Z,822,225
2024-03-22T11:34:50.819Z,570,40
2024-03-22T11:34:52.116Z,718,783
2024-03-22T11:34:52.533Z,710,3356
2024-03-22T11:34:53.659Z,917,3359
2024-03-22T11:34:53.980Z,909,122
2024-03-22T11:34:56.164Z,1101,28
2024-03-22T11:34:56.371Z,1103,781
2024-03-22T11:34:56.571Z,1103,781
2024-03-22T11:34:56.763Z,1103,781
2024-03-22T11:34:56.964Z,1103,783
2024-03-22T11:34:57.341Z,696,1148
2024-03-22T11:34:57.756Z,603,1222
2024-03-22T11:34:57.972Z,647,1602
2024-03-22T11:34:58.397Z,230,1203
2024-03-22T11:34:58.749Z,586,1348
2024-03-22T11:34:59.421Z,398,2401
2024-03-22T11:34:59.661Z,141,2286
2024-03-22T11:35:00.132Z,838,2718
2024-03-22T11:35:00.661Z,754,3122
2024-03-22T11:35:00.956Z,328,3167
2024-03-22T11:35:01.899Z,1105,3212
2024-03-22T11:35:03.244Z,648,3917
2024-03-22T11:35:05.187Z,738,4439
2024-03-22T11:35:05.536Z,759,4450
2024-03-22T11:35:06.516Z,1231,4384
2024-03-22T11:35:06.711Z,1232,4394
2024-03-22T11:35:08.579Z,618,3789
2024-03-22T11:35:09.630Z,757,3637
2024-03-22T11:35:09.847Z,643,3630
2024-03-22T11:35:10.049Z,601,3632
2024-03-22T11:35:10.229Z,852,3621
2024-03-22T11:35:10.388Z,841,3583
2024-03-22T11:35:11.115Z,1219,3763
2024-03-22T11:35:12.955Z,1240,817
2024-03-22T11:35:14.772Z,16,148
2024-03-22T11:35:14.964Z,10,227
2024-03-22T11:35:15.164Z,0,336
2024-03-22T11:35:15.524Z,1,373
2024-03-22T11:35:15.868Z,4,343
2024-03-22T11:35:16.068Z,46,353
2024-03-22T11:35:16.236Z,135,358
2024-03-22T11:35:16.420Z,346,389
2024-03-22T11:35:23.123Z,133,49
