Timestamp,X Position,Y Position
2024-03-31T17:50:27.296Z,1280,20
2024-03-31T17:51:15.689Z,161,40
2024-03-31T17:51:16.146Z,303,45
2024-03-31T17:51:16.433Z,398,45
2024-03-31T17:51:16.777Z,512,42
2024-03-31T17:51:17.170Z,60,55
2024-03-31T17:51:17.762Z,1252,51
2024-03-31T17:51:20.527Z,867,807
2024-03-31T17:51:21.015Z,1011,806
2024-03-31T17:51:21.295Z,755,815
2024-03-31T17:51:21.640Z,1023,803
2024-03-31T17:51:21.920Z,908,862
2024-03-31T17:51:22.223Z,799,806
2024-03-31T17:51:22.481Z,862,866
2024-03-31T17:51:22.719Z,774,914
2024-03-31T17:51:23.415Z,1156,848
2024-03-31T17:51:23.839Z,1096,895
2024-03-31T17:51:24.759Z,1147,844
2024-03-31T17:51:25.543Z,1154,853
2024-03-31T17:51:26.544Z,777,1013
2024-03-31T17:51:27.024Z,782,1000
2024-03-31T17:51:27.512Z,808,1028
2024-03-31T17:51:27.759Z,806,1056
2024-03-31T17:51:27.999Z,818,988
2024-03-31T17:51:28.239Z,751,987
2024-03-31T17:51:28.480Z,805,1053
2024-03-31T17:51:28.663Z,850,1011
2024-03-31T17:51:28.887Z,756,964
2024-03-31T17:51:29.344Z,811,1027
2024-03-31T17:51:29.591Z,753,1039
2024-03-31T17:51:29.799Z,754,1051
2024-03-31T17:51:30.623Z,821,1082
2024-03-31T17:51:30.935Z,835,1097
2024-03-31T17:51:31.495Z,900,1116
2024-03-31T17:51:31.719Z,904,1115
2024-03-31T17:51:31.903Z,904,1115
2024-03-31T17:51:32.103Z,904,1115
2024-03-31T17:51:32.383Z,904,1107
2024-03-31T17:51:32.567Z,904,1107
2024-03-31T17:51:32.799Z,904,1107
2024-03-31T17:51:33.007Z,904,1107
2024-03-31T17:51:33.383Z,904,1106
2024-03-31T17:51:33.599Z,904,1106
2024-03-31T17:51:33.783Z,904,1106
2024-03-31T17:51:33.952Z,905,1106
2024-03-31T17:51:34.191Z,978,1106
2024-03-31T17:51:34.391Z,991,1106
2024-03-31T17:51:34.703Z,862,1167
2024-03-31T17:51:34.975Z,825,1211
2024-03-31T17:51:35.191Z,825,1214
2024-03-31T17:51:36.127Z,857,1248
2024-03-31T17:51:36.319Z,857,1249
2024-03-31T17:51:36.591Z,844,1298
2024-03-31T17:51:36.783Z,844,1309
2024-03-31T17:51:36.991Z,844,1309
2024-03-31T17:51:37.215Z,1011,1314
2024-03-31T17:51:37.425Z,1069,1315
2024-03-31T17:51:37.871Z,978,1358
2024-03-31T17:51:38.055Z,955,1364
2024-03-31T17:51:38.375Z,825,1397
2024-03-31T17:51:38.583Z,825,1397
2024-03-31T17:51:38.767Z,825,1397
2024-03-31T17:51:39.137Z,850,1442
2024-03-31T17:51:40.824Z,823,1449
2024-03-31T17:51:42.064Z,827,1468
2024-03-31T17:51:43.264Z,999,1448
2024-03-31T17:51:44.439Z,1115,1442
2024-03-31T17:51:46.304Z,722,1468
2024-03-31T17:51:47.703Z,914,1465
2024-03-31T17:51:48.944Z,930,1482
2024-03-31T17:51:50.255Z,944,1474
2024-03-31T17:51:51.455Z,885,1461
2024-03-31T17:51:53.840Z,939,1485
2024-03-31T17:51:54.792Z,923,1477
2024-03-31T17:51:55.727Z,923,1477
2024-03-31T17:51:56.688Z,923,1477
2024-03-31T17:51:57.567Z,923,1477
2024-03-31T17:51:58.472Z,923,1477
