Timestamp,X Position,Y Position
2024-03-31T17:37:48.488Z,199,36
2024-03-31T17:37:52.847Z,96,50
2024-03-31T17:37:57.385Z,334,45
2024-03-31T17:37:58.625Z,418,44
2024-03-31T17:37:59.584Z,494,44
2024-03-31T17:38:01.080Z,1187,35
2024-03-31T17:38:01.279Z,1187,35
2024-03-31T17:38:01.479Z,1187,35
2024-03-31T17:38:02.855Z,517,46
2024-03-31T17:38:03.160Z,419,38
2024-03-31T17:38:03.737Z,152,39
2024-03-31T17:38:03.975Z,27,30
2024-03-31T17:38:04.903Z,623,30
2024-03-31T17:38:05.398Z,1080,33
2024-03-31T17:38:05.646Z,741,35
2024-03-31T17:38:05.863Z,985,41
2024-03-31T17:38:06.070Z,986,44
2024-03-31T17:38:06.719Z,1206,46
2024-03-31T17:38:06.924Z,1237,46
2024-03-31T17:38:07.094Z,1346,39
2024-03-31T17:38:07.503Z,1281,39
2024-03-31T17:38:07.983Z,1295,31
2024-03-31T17:38:08.638Z,1337,37
2024-03-31T17:38:08.830Z,1337,37
2024-03-31T17:38:10.566Z,4,34
2024-03-31T17:38:10.769Z,6,34
2024-03-31T17:38:11.422Z,303,20
2024-03-31T17:38:11.655Z,303,20
2024-03-31T17:38:12.144Z,238,64
2024-03-31T17:38:13.327Z,425,54
2024-03-31T17:38:13.752Z,558,48
2024-03-31T17:38:15.448Z,1229,56
2024-03-31T17:38:22.184Z,494,46
2024-03-31T17:38:22.968Z,427,38
2024-03-31T17:38:26.232Z,0,264
2024-03-31T17:38:26.233Z,750,894
2024-03-31T17:44:00.060Z,298,52
2024-03-31T17:44:02.493Z,437,59
2024-03-31T17:44:02.511Z,205,40
2024-03-31T17:44:03.142Z,526,40
2024-03-31T17:44:03.766Z,1205,38
2024-03-31T17:44:04.379Z,37,35
2024-03-31T17:44:05.343Z,482,36
2024-03-31T17:44:06.090Z,453,42
2024-03-31T17:44:06.352Z,428,43
2024-03-31T17:44:07.001Z,1216,22
2024-03-31T17:44:08.056Z,373,38
